Swatek Paul                   Industriebetriebe                                                                         0072                              A 9400  Wolfsberg                     001345
Sztriberny                    Baugesellschaft m.b.H.                                                                    0000                              A 9081  Reifnitz Nr. 66               001347
Volksbank Lienz                                                                                                         0000SÅdtirolerplatz 4             A 9900  Lienz                         001719
Ragger Gottlieb               Farben und Lacke                                                                          0000Primoschgasse 1               A 9020  Klagenfurt                    001351
Franz Parinpek & Co.                                                                                                    0000Lederergasse 17-19            A 9500  Villach                       001512
Raiffeisenbank                Oberdrautal-Weissensee                                                                    0000                              A 9761  Greifenburg 93                001446
Pfrimer & Mîsslacher          Gesellschaft mbH                                                                          0000Ausstellungsstra·e 1-3        A 9020  Klagenfurt                    001521
Raiffeisenbank Sillian                                                                                                  0000                              A 9920  Sillian 10                    001424
Raiffeisenbank Spittal/Drau                                                                                             0000Burgplatz 2                   A 9800  Spittal/Drau                  001430
Platzner Siegwald             Topfpflanzen                                                                              0000St. Josef Stra·e 36           A 9500  Villach                       001530
Raiffeisen Bezirksbank-       aktiengesellschaft Wolfsberg                                                              0000Herrengasse 102               A 9400  Wolfsberg                     001432
Porsche-Inter-Auto            Gesellschaft m.b.H                                                                        0000Villacher Stra·e 213          A 9010  Klagenfurt                    001657
Possehl Spezialbau            Gesellschaft mit              beschrÑnkter Haftung.                                       0000                              A 9112  Griffen Nr. 161               001668
Ramsbacher Othmar & Co.       SÑgewerk                                                                                  0000                              A 9863  Rennweg                       001454
Franz Primus & Co,            Offene Handelsgesellschaft.                                                               0000                              A 9413  St. Gertraud                  001680
Ing. Raspotnig Ferd.                                                                                                    0000Hoffmanngasse 10-12           A 9021  Klagenfurt                    001461
Punz Innenausbau und Laden-   einrichtungen Gesellschaft    m.b.H. & Co. KG.                                            0000Morogasse 21                  A 9020  Klagenfurt                    001685
Raunikar - Edelbrand          GmbH                                                                                      0099                              A 9560  Feldkirchen                   001468
Rausch u. Sohn                Spedition                                                                                 0017                              A 9063  Maria Saal                    001476
Th. Resei                     Gesellschaft m.b.H. & Co. KG.                                                             0000St. Veiter Stra·e             A 9020  Klagenfurt                    001493
Otto Eisenwagen               Gesellschaft mbH                                                                          0000Neubaugasse 56                A 1070  Wien                          000687
ELRA-Ing.Walter Rauch         Elektron.Bauelemente Vertrieb                                                             0000Rueppgasse 11                 A 1020  Wien                          001905
Erba Werkzeuggro·handel       Gesellschaft mbH                                                                          0000Talpagasse 6                  A 1230  Wien                          005640
Erste îsterr.Turn-und Sport-  gerÑtefabrik J.Plaschkowitz   Gesellschaft mbH                                            0000Baumgasse 13                  A 1030  Wien                          000738
